Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Occupation,Occupation_General,Occupation_Rank,Ad_Society,Place,Place_Reconciled,place_qid,coordinate_location,country_reconciled,Country,Original_LINE
"
114,1873,GEG,OM,HL,OUT,93,,Alexis Graf Uwarow,Alexis Graf Uwarow,,,,"Kammerherr, Präsident der archäologischen Gesellschaft",Rank,Kammerherr,Die archäologische Gesellschaft zu Moskau,Moskau,Moscow,Q649,"55.755833333333,37.617777777778",Russia,," Alexis Graf Uwarow,| Kammerherr, Prä-sident der archäologischen Gesellschaft in Moskau. 
"
115,1873,GEG,OM,HL,OUT,94,,Nicolai von Wahl,Nicolai von Wahl,,,,,,,,Pajus,Pajusi,Q3465378,"58.705277777778,25.94",Estonia,," Nicolai v. Wahl| in Pajus. 
"
116,1873,GEG,OM,AB,,95,Dr.,A. Schmiedeberg,A. Schmiedeberg,,,,Professor der Pharmakologie,Hochschulwesen,,,Straßburg i E,Strasbourg,Q6602,"48.573333333333,7.7522222222222",France,," Dr. A. Schmiedeberg,| Professor der Phar-makologie in Straßburg i. E. 
"
117,1873,GEG,CM,HL,,1,Dr.,A. Ahlquist,"Ahlqvist, Alfred Gustaf",1838,1881,1055298487,Professor der finnischen Sprache,Hochschulwesen,,,Helsingfors,Helsinki,Q1757,"60.17556,24.93417",Finland,," Dr. A. Ahlquist,| Professor der finnischen Sprache in Helsingsors. 
"
118,1873,GEG,CM,HL,,2,,Jul Bergmann,Jul Bergmann,,,,"Dimitt. Lehrer des Tulaschen Cadettencorps, Coll.-Rath.",Rank,Kollegienrat,,Mitau,Jelgava,Q179830,"56.652222222222,23.724444444444",Latvia,," Jul. Bergmann,| dim. Lehrer des Tulaschen Cadettencorps, Coll.-Rath., in Mitau. 
"
119,1873,GEG,CM,HL,,3,Cand.,Friedrich Bienemann,Friedrich Bienemann,,,,Oberlehrer an der Domschule,Schulwesen,,,Reval,Tallinn,Q1770,"59.437222222222,24.745",Estonia,," Cand. Friedrich Bienemann,| Oberlehrer an der Domschule zu Reval. 
"
120,1873,GEG,CM,HL,,4,Dr.,A. Donner,André Donner,,,,,,,,Helsingfors,Helsinki,Q1757,"60.17556,24.93417",Finland,," Dr. A. Donner| in Helfingfors. 
"
121,1873,GEG,CM,HL,,5,,H. Diederichs,H. Diederichs,,,,Oberlehrer,Schulwesen,,,Mitau,Jelgava,Q179830,"56.652222222222,23.724444444444",Latvia,," H. Diederichs,| Oberlehrer in Mitau. 
"
122,1873,GEG,CM,HL,,6,Dr.,O. Duhmberg,O. Duhmberg,,,,,,,,Barnaul,Barnaul,Q6014,"53.356666666667,83.787222222222",Russia,," Dr. O. Duhmberg| in Barnaul. 
"
123,1873,GEG,CM,HL,,7,Dr.,I. Gorloff,I. Gorloff,,,,Professor der politischen Oekonomie,Hochschulwesen,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,," Dr. I. Gorloff,| Professor der politischen Oekonomie in Petersburg. 
"
124,1873,GEG,CM,HL,,8,Dr.,L. Gahlnbäck,"Gahlnbäck, Leopold Georg",1807-06-15,1878-02-06,1066234353,Schuldirector,Schulwesen,,,Reval,Tallinn,Q1770,"59.437222222222,24.745",Estonia,," Dr. L. Gahlnbäck,| Schuldirector in Reval. 
"
125,1873,GEG,CM,HL,,9,,H. Holzmayer,H. Holzmayer,,,,Oberlehrer,Schulwesen,,,Arensburg,Kuressaare,Q188179,"58.253333333333,22.486111111111",Estonia,," H. Holzmayer.| Oberlehrer in Arensburg. 
"
126,1873,GEG,CM,HL,,10,,M. Jürgens,"Jurgens, M.",,,1081902507,Buchbinder,Buchwesen,,,Pernau,Pärnu,Q102365,"58.384444444444,24.498888888889",Estonia,," M. Jürgens,| Buchbinder in Pernau. 
"
127,1873,GEG,CM,HL,,11,Dr.,B. Köhne,B. Köhne,,,,Wirkl. Staatsrath,Rank,Wirklicher Staatsrat (Russland),,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,," Dr. B. Köhne,| wirkl. St.-Rath, in Petersburg. 
"
128,1873,GEG,CM,HL,,12,,M. Kauzmann,M. Kauzmann,,,,Emer. Pastor,Pfarrwesen,,,,,,,,," M. Kauzmann,| Past. emer. 
"
129,1873,GEG,CM,HL,,13,,M. Körber,Matthias Körber,,,,Pastor,Pfarrwesen,,,Anseküll,Anseküla Parish,Q12359332,,Estonia,," M. Körber,| Pastor zu Anseküll. 
"
130,1873,GEG,CM,HL,,14,,I. Laosson,I. Laosson,,,,Lehrer,Schulwesen,,,Tarwast,Tarvastu,Q3130504,"58.230555555556,25.893055555556",Estonia,," I. Laosson.| Lehrer in Tarwast. 
"
131,1873,GEG,CM,HL,,15,Dr.,Ferdinand Löwe,Ferdinand Löwe,,,,Coll.-Assessor,Rank,Kollegienassessor,,Reval,Tallinn,Q1770,"59.437222222222,24.745",Estonia,," Dr. Ferdinand Löwe,| Coll.-Ass., in Reval. 
"
132,1873,GEG,CM,HL,,16,,Johann Mielberg,Johann Mielberg,,,,,,,,,,,,,," Johann Mielberg.| 
"
133,1873,GEG,CM,HL,,17,,I. Nocks,I. Nocks,,,,Schuldirector-Gehilfe,Schulwesen,,,Reval,Tallinn,Q1770,"59.437222222222,24.745",Estonia,," I. Nocks,| Schuldirector-Gehilfe in Reval. 
"
134,1873,GEG,CM,HL,,18,Dr.,Radloff,Fredrik Wilhelm Radloff,,,,Inspektor der tatarischen Schulen,Schulwesen,,,Kasan,Kazan,Q900,"55.790833333333,49.114444444444",Russia,," Dr. Radloff,| Inspektor der tatarischen Schu-len in Kasan. 
"
135,1873,GEG,CM,HL,,19,,C. Rußwurm,"Rußwurm, C.",1812-11-25,1883-02-17,116711558,Dimitt. Schulinspector,Schulwesen,,,Reval,Tallinn,Q1770,"59.437222222222,24.745",Estonia,," C. Rußwurm,| dim. Schulinspector in Reval. 
"
136,1873,GEG,CM,HL,,20,,A. Schiefner,"Schiefner, Anton",1817-06-06,1879-11-04,117228427,Akademiker,Hochschulwesen,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,," A. Schiefner,| Akademiker in Petersburg. 
"
137,1873,GEG,CM,HL,,21,Mag.,Fr Schmidt,Fr. Schmidt,,,,,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,," Mag. Fr. Schmidt| in Petersburg. 
"
138,1873,GEG,CM,HL,,22,Dr.,Th. Struve,Th. Struve,,,,Director des Gymnasium des pädagogischen Instituts,Schulwesen,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,," Dr. Th. Struve,| Director des Gymnasium des pädagogischen Instituts in Petersburg. 
"
139,1873,GEG,CM,HL,,23,,H. Wühner,H. Wühner,,,,Küster,Pfarrwesen,,,Tarwast,Tarvastu,Q3130504,"58.230555555556,25.893055555556",Estonia,," H. Wühner,| Küster in Tarwast. 
"
140,1873,GEG,CM,AB,,24,Dr.,I. Altmann,"Altmann, Christoph I.",,,139329390,,,,,Berlin,Berlin,Q64,"52.516666666667,13.383333333333",Germany,," Dr. I. Altmann| in Berlin. 
"
141,1873,GEG,CM,AB,,25,Dr.,Jul Budenz,Jul Budenz,,,,Bibliothekar,Buchwesen,,,Pest,Pest,Q210205,"47.5,19.1",Hungary,," Dr. Jul. Budenz,| Bibliothekar in Pest. 
"
142,1873,GEG,CM,AB,,26,Dr.,H. von der Gabelentz,"Gabelentz, Hans Conon von der",1807-10-13,1874-09-03,118688960,Geheimrath,Rank,Geheimrat,,Altenburg,Altenburg,Q15976,"50.985,12.433333333333",Germany,," Dr. H. von der Gabelentz,| Geheimrath, in Altenburg. 
"
143,1873,GEG,CM,AB,,27,,L. Haan,L. Haan,,,,Evang. Pastor,Pfarrwesen,,,Bekes Czaba,Békéscsaba,Q178878,"46.683333333333,21.083333333333",Hungary, Ungarn," L. Haan,| evang. Pastor in Bekes Czaba in Ungarn. 
"
144,1873,GEG,CM,AB,,28,,Carl Hernmark,Carl Hernmark,,,,Canzlei-Director des Justizministerium,Juristerei,,,Stockholm,Stockholm,Q1754,"59.329444444444,18.068611111111",Sweden,," Carl Hernmark,| Canzlei.Director des Ju-stizministerium in Stockholm. 
"
145,1873,GEG,CM,AB,,29,Dr.,C. Höhlbaum,C. Höhlbaum,,,,,,,,Göttingen,Göttingen,Q3033,"51.533888888889,9.9355555555556",Germany,," Dr. C. Höhlbaum| in Göttingen. 
"
146,1873,GEG,CM,AB,,30,Cand.,E. Kluge,"Kluge, E.",,,127579567,,,,,Altona,Altona,Q1630,"53.55,9.9333",Germany,," Cand. E. Kluge| in Altona. 
"
147,1873,GEG,CM,AB,,31,Dr.,Kohl,Kohl,,,,Stadtbibliothekar,Buchwesen,,,Bremen,Bremen,Q24879,"53.076944444444,8.8088888888889",Germany,," Dr. Kohl.| Stadt-Bibliothekar in Bremen. 
"
148,1873,GEG,CM,AB,,32,Dr.,F. Lundberg,F. Lundberg,,,,Professor der Veterinär-Medizin,Hochschulwesen,,,Stockholm,Stockholm,Q1754,"59.329444444444,18.068611111111",Sweden,," Dr. F. Lundberg,| Professor der Vetr.-Medi-ein in Stockholm. 
"
149,1873,GEG,CM,AB,,33,Dr.,C. Lohmeyer,"Lohmeyer, C.",,,1013724348,Privatdocent,Schulwesen,,,Königsberg,Kaliningrad,Q1829,"54.716666666667,20.5",Russia,," Dr. C.Lohm e y e r,| Privatdocent in Königsberg. 
"
150,1873,GEG,CM,AB,,34,Dr.,W. Mannhardt,"Mannhardt, W.",,1901,174378343,Professor,Hochschulwesen,,,Danzig,Gdańsk,Q1792,"54.35,18.666666666666668",Poland,," Dr. W. Mannhardt,| Professor in Danzig. 
"
151,1873,GEG,CM,AB,,35,Dr.,Th. Nöldeke,"Nöldeke, Theodor",1836-03-02,1930-12-25,119453223,Professor der orientalischen Sprachen,Hochschulwesen,,,Straßburg i E,Strasbourg,Q6602,"48.573333333333,7.7522222222222",France,," Dr. Th. Nöldeke,| Professor der orientalischen Sprachen in Straßburg t. E. 
"
152,1873,GEG,CM,AB,,36,Dr.,O. Schade,O. Schade,,,,Professor,Hochschulwesen,,,Königsberg,Kaliningrad,Q1829,"54.716666666667,20.5",Russia,," Dr. O. Schade.| Professor in Königsberg i.Pr. 
"
